max_depth	min_split	ganancia_promedio
10	320	37892000
10	320	7392000
10	320	7392000
10	320	0
10	320	0
10	320	0
10	320	0
10	320	0
10	320	0
10	320	0
10	640	50120000
10	640	50076000
10	640	50392000
10	640	49472000
10	640	48300000
10	640	48048000
10	640	50120000
10	640	50076000
10	640	50392000
10	640	49472000
10	640	48300000
10	640	48048000
10	640	50120000
10	640	50076000
10	640	50392000
10	640	49472000
10	640	48300000
10	640	48048000
10	640	49764000
10	640	39384000
10	640	23052000
10	640	0
10	640	0
10	640	0
10	640	0
10	640	0
10	640	0
10	640	0
10	640	0
10	640	0
12	10	40774000
12	10	35392000
12	10	39582000
12	10	41748000
12	10	42530000
12	10	40774000
12	10	40774000
12	10	35392000
12	10	39582000
12	10	41748000
12	10	42530000
12	10	40774000
12	10	40774000
12	10	35392000
12	10	39582000
12	10	41748000
12	10	42530000
12	10	40774000
12	10	44572000
12	10	45120000
12	10	47688000
12	10	48006000
12	10	37966000
12	10	44572000
12	10	0
12	10	0
12	10	0
12	10	0
12	10	0
12	10	0
12	20	43302000
12	20	38610000
12	20	40234000
12	20	41748000
12	20	42530000
12	20	38816000
12	20	43302000
12	20	38610000
12	20	40234000
12	20	41748000
12	20	42530000
12	20	38816000
12	20	43302000
12	20	38610000
12	20	40234000
12	20	41748000
12	20	42530000
12	20	38816000
12	20	45466000
12	20	45798000
12	20	47486000
12	20	48006000
12	20	37966000
12	20	46830000
12	20	0
12	20	0
12	20	0
12	20	0
12	20	0
12	20	0
12	40	46524000
12	40	42636000
12	40	44060000
12	40	42438000
12	40	42530000
12	40	43370000
12	40	46524000
12	40	42636000
12	40	44060000
12	40	42438000
12	40	42530000
12	40	43370000
12	40	46524000
12	40	42636000
12	40	44060000
12	40	42438000
12	40	42530000
12	40	43370000
12	40	48070000
12	40	46096000
12	40	44922000
12	40	44820000
12	40	37966000
12	40	44426000
12	40	0
12	40	0
12	40	0
12	40	0
12	40	0
12	40	0
12	80	48494000
12	80	44160000
12	80	45292000
12	80	44406000
12	80	42284000
12	80	43714000
12	80	48494000
12	80	44160000
12	80	45292000
12	80	44406000
12	80	42284000
12	80	43714000
12	80	48494000
12	80	44160000
12	80	45292000
12	80	44406000
12	80	42284000
12	80	43714000
12	80	49444000
12	80	42374000
12	80	40272000
12	80	40486000
12	80	30766000
12	80	39232000
12	80	0
12	80	0
12	80	0
12	80	0
12	80	0
12	80	0
12	160	49202000
12	160	45880000
12	160	46156000
12	160	44844000
12	160	43466000
12	160	42140000
12	160	49202000
12	160	45880000
12	160	46156000
12	160	44844000
12	160	43466000
12	160	42140000
12	160	49202000
12	160	45880000
12	160	46156000
12	160	44844000
12	160	43466000
12	160	42140000
12	160	50266000
12	160	43372000
12	160	39120000
12	160	24830000
12	160	7392000
12	160	7392000
12	160	0
12	160	0
12	160	0
12	160	0
12	160	0
12	160	0
12	320	50206000
12	320	47102000
12	320	47210000
12	320	45578000
12	320	44796000
12	320	44168000
12	320	50206000
12	320	47102000
12	320	47210000
12	320	45578000
12	320	44796000
12	320	44168000
12	320	50206000
12	320	47102000
12	320	47210000
12	320	45578000
12	320	44796000
12	320	44168000
12	320	49760000
12	320	42376000
12	320	37892000
12	320	7392000
12	320	7392000
12	320	0
12	320	0
12	320	0
12	320	0
12	320	0
12	320	0
12	320	0
12	640	51054000
12	640	49576000
12	640	50128000
12	640	47518000
12	640	47128000
12	640	46532000
12	640	51054000
12	640	49576000
12	640	50128000
12	640	47518000
12	640	47128000
12	640	46532000
12	640	51054000
12	640	49576000
12	640	50128000
12	640	47518000
12	640	47128000
12	640	46532000
12	640	49764000
12	640	42448000
12	640	23052000
12	640	0
12	640	0
12	640	0
12	640	0
12	640	0
12	640	0
12	640	0
12	640	0
12	640	0
14	10	31990000
14	10	30294000
14	10	33616000
14	10	36220000
14	10	38648000
14	10	31990000
14	10	31990000
14	10	30294000
14	10	33616000
14	10	36220000
14	10	38648000
14	10	31990000
14	10	31990000
14	10	30294000
14	10	33616000
14	10	36220000
14	10	38648000
14	10	31990000
14	10	40574000
14	10	40576000
14	10	47080000
14	10	48184000
14	10	37966000
14	10	40574000
14	10	0
14	10	0
14	10	0
14	10	0
14	10	0
14	10	0
14	20	35714000
14	20	34204000
14	20	34718000
14	20	36220000
14	20	38648000
14	20	34340000
14	20	35714000
14	20	34204000
14	20	34718000
14	20	36220000
14	20	38648000
14	20	34340000
14	20	35714000
14	20	34204000
14	20	34718000
14	20	36220000
14	20	38648000
14	20	34340000
14	20	42644000
14	20	43282000
14	20	46940000
14	20	48184000
14	20	37966000
14	20	43416000
14	20	0
14	20	0
14	20	0
14	20	0
14	20	0
14	20	0
14	40	40042000
14	40	38516000
14	40	39184000
14	40	37216000
14	40	38648000
14	40	39890000
14	40	40042000
14	40	38516000
14	40	39184000
14	40	37216000
14	40	38648000
14	40	39890000
14	40	40042000
14	40	38516000
14	40	39184000
14	40	37216000
14	40	38648000
14	40	39890000
14	40	46180000
14	40	44776000
14	40	44418000
14	40	44666000
14	40	37966000
14	40	44096000
14	40	0
14	40	0
14	40	0
14	40	0
14	40	0
14	40	0
14	80	44008000
14	80	41880000
14	80	41872000
14	80	40396000
14	80	38552000
14	80	39526000
14	80	44008000
14	80	41880000
14	80	41872000
14	80	40396000
14	80	38552000
14	80	39526000
14	80	44008000
14	80	41880000
14	80	41872000
14	80	40396000
14	80	38552000
14	80	39526000
14	80	48026000
14	80	44046000
14	80	39960000
14	80	40486000
14	80	30766000
14	80	39232000
14	80	0
14	80	0
14	80	0
14	80	0
14	80	0
14	80	0
14	160	46310000
14	160	45170000
14	160	43828000
14	160	41994000
14	160	40268000
14	160	39824000
14	160	46310000
14	160	45170000
14	160	43828000
14	160	41994000
14	160	40268000
14	160	39824000
14	160	46310000
14	160	45170000
14	160	43828000
14	160	41994000
14	160	40268000
14	160	39824000
14	160	49626000
14	160	45524000
14	160	39120000
14	160	24830000
14	160	7392000
14	160	7392000
14	160	0
14	160	0
14	160	0
14	160	0
14	160	0
14	160	0
14	320	47950000
14	320	46964000
14	320	45764000
14	320	44162000
14	320	43252000
14	320	42476000
14	320	47950000
14	320	46964000
14	320	45764000
14	320	44162000
14	320	43252000
14	320	42476000
14	320	47950000
14	320	46964000
14	320	45764000
14	320	44162000
14	320	43252000
14	320	42476000
14	320	49848000
14	320	45220000
14	320	37892000
14	320	7392000
14	320	7392000
14	320	0
14	320	0
14	320	0
14	320	0
14	320	0
14	320	0
14	320	0
14	640	50104000
14	640	49744000
14	640	47878000
14	640	45514000
14	640	45506000
14	640	46532000
14	640	50104000
14	640	49744000
14	640	47878000
14	640	45514000
14	640	45506000
14	640	46532000
14	640	50104000
14	640	49744000
14	640	47878000
14	640	45514000
14	640	45506000
14	640	46532000
14	640	49748000
14	640	42448000
14	640	23052000
14	640	0
14	640	0
14	640	0
14	640	0
14	640	0
14	640	0
14	640	0
14	640	0
14	640	0
16	10	27896000
16	10	27438000
16	10	28612000
16	10	32200000
16	10	36830000
16	10	27896000
16	10	27896000
16	10	27438000
16	10	28612000
16	10	32200000
16	10	36830000
16	10	27896000
16	10	27896000
16	10	27438000
16	10	28612000
16	10	32200000
16	10	36830000
16	10	27896000
16	10	38346000
16	10	39070000
16	10	47032000
16	10	48184000
16	10	37966000
16	10	38346000
16	10	0
16	10	0
16	10	0
16	10	0
16	10	0
16	10	0
16	20	32056000
16	20	31742000
16	20	30122000
16	20	32200000
16	20	36830000
16	20	28782000
16	20	32056000
16	20	31742000
16	20	30122000
16	20	32200000
16	20	36830000
16	20	28782000
16	20	32056000
16	20	31742000
16	20	30122000
16	20	32200000
16	20	36830000
16	20	28782000
16	20	41862000
16	20	43518000
16	20	46758000
16	20	48184000
16	20	37966000
16	20	43060000
16	20	0
16	20	0
16	20	0
16	20	0
16	20	0
16	20	0
16	40	36788000
16	40	36914000
16	40	35876000
16	40	33380000
16	40	36830000
16	40	36022000
16	40	36788000
16	40	36914000
16	40	35876000
16	40	33380000
16	40	36830000
16	40	36022000
16	40	36788000
16	40	36914000
16	40	35876000
16	40	33380000
16	40	36830000
16	40	36022000
16	40	45592000
16	40	44952000
16	40	44494000
16	40	44666000
16	40	37966000
16	40	44352000
16	40	0
16	40	0
16	40	0
16	40	0
16	40	0
16	40	0
16	80	41624000
16	80	40894000
16	80	39294000
16	80	37014000
16	80	36608000
16	80	37454000
16	80	41624000
16	80	40894000
16	80	39294000
16	80	37014000
16	80	36608000
16	80	37454000
16	80	41624000
16	80	40894000
16	80	39294000
16	80	37014000
16	80	36608000
16	80	37454000
16	80	47584000
16	80	46394000
16	80	39960000
16	80	40486000
16	80	30766000
16	80	39232000
16	80	0
16	80	0
16	80	0
16	80	0
16	80	0
16	80	0
16	160	44810000
16	160	44140000
16	160	41506000
16	160	39112000
16	160	38290000
16	160	38766000
16	160	44810000
16	160	44140000
16	160	41506000
16	160	39112000
16	160	38290000
16	160	38766000
16	160	44810000
16	160	44140000
16	160	41506000
16	160	39112000
16	160	38290000
16	160	38766000
16	160	49520000
16	160	47872000
16	160	39120000
16	160	24830000
16	160	7392000
16	160	7392000
16	160	0
16	160	0
16	160	0
16	160	0
16	160	0
16	160	0
16	320	46798000
16	320	46046000
16	320	44488000
16	320	42906000
16	320	41558000
16	320	42054000
16	320	46798000
16	320	46046000
16	320	44488000
16	320	42906000
16	320	41558000
16	320	42054000
16	320	46798000
16	320	46046000
16	320	44488000
16	320	42906000
16	320	41558000
16	320	42054000
16	320	49956000
16	320	45220000
16	320	37892000
16	320	7392000
16	320	7392000
16	320	0
16	320	0
16	320	0
16	320	0
16	320	0
16	320	0
16	320	0
16	640	49064000
16	640	48668000
16	640	47816000
16	640	44528000
16	640	44654000
16	640	46532000
16	640	49064000
16	640	48668000
16	640	47816000
16	640	44528000
16	640	44654000
16	640	46532000
16	640	49064000
16	640	48668000
16	640	47816000
16	640	44528000
16	640	44654000
16	640	46532000
16	640	49856000
16	640	42448000
16	640	23052000
16	640	0
16	640	0
16	640	0
16	640	0
16	640	0
16	640	0
16	640	0
16	640	0
16	640	0
