max_depth	min_split	ganancia_promedio
10	20	44284000
10	20	46008000
10	20	46936000
10	20	48184000
10	20	45402000
10	20	37966000
10	20	47802000
10	20	0
10	20	0
10	20	0
10	20	0
10	20	0
10	20	0
10	40	47690000
10	40	46818000
10	40	46800000
10	40	46656000
10	40	46008000
10	40	46168000
10	40	47690000
10	40	46818000
10	40	46800000
10	40	46656000
10	40	46008000
10	40	46168000
10	40	47690000
10	40	46818000
10	40	46800000
10	40	46656000
10	40	46008000
10	40	46168000
10	40	48436000
10	40	46752000
10	40	45640000
10	40	45402000
10	40	37966000
10	40	45134000
10	40	0
10	40	0
10	40	0
10	40	0
10	40	0
10	40	0
10	80	48902000
10	80	47420000
10	80	4.7e+07
10	80	46534000
10	80	45446000
10	80	47004000
10	80	48902000
10	80	47420000
10	80	4.7e+07
10	80	46534000
10	80	45446000
10	80	47004000
10	80	48902000
10	80	47420000
10	80	4.7e+07
10	80	46534000
10	80	45446000
10	80	47004000
10	80	49672000
10	80	43144000
10	80	38528000
10	80	38642000
10	80	30766000
10	80	39232000
10	80	0
10	80	0
10	80	0
10	80	0
10	80	0
10	80	0
10	160	49354000
10	160	48342000
10	160	47586000
10	160	46810000
10	160	45686000
10	160	45318000
10	160	49354000
10	160	48342000
10	160	47586000
10	160	46810000
10	160	45686000
10	160	45318000
10	160	49354000
10	160	48342000
10	160	47586000
10	160	46810000
10	160	45686000
10	160	45318000
10	160	49904000
10	160	40380000
10	160	39120000
10	160	24830000
10	160	7392000
10	160	7392000
10	160	0
10	160	0
10	160	0
10	160	0
10	160	0
10	160	0
10	320	49924000
10	320	48986000
10	320	48952000
10	320	47778000
10	320	46198000
10	320	46900000
10	320	49924000
10	320	48986000
10	320	48952000
10	320	47778000
10	320	46198000
10	320	46900000
10	320	49924000
10	320	48986000
10	320	48952000
10	320	47778000
10	320	46198000
10	320	46900000
10	320	49760000
10	320	39384000
